filename,class,xmin,ymin,xmax,ymax,width,height,split,path
1008198576_jpg.rf.fc66b62b4b4ae77a8019b30cfa520864.jpg,guiness,312,150,560,261,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1008198576_jpg.rf.fc66b62b4b4ae77a8019b30cfa520864.jpg
1016381746_jpg.rf.828da6346cddaa2d479f3aea5273fca4.jpg,dhl,315,114,640,364,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1016381746_jpg.rf.828da6346cddaa2d479f3aea5273fca4.jpg
1030265231_jpg.rf.b7c0708b3a4157dfad33eb509bc60ebf.jpg,fosters,265,154,368,320,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1030265231_jpg.rf.b7c0708b3a4157dfad33eb509bc60ebf.jpg
1034987742_jpg.rf.48fe417d36718a8533a171e75f8b875f.jpg,fosters,245,289,486,565,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1034987742_jpg.rf.48fe417d36718a8533a171e75f8b875f.jpg
1064236942_jpg.rf.67c6fce9ea45d87a13a3fd1045a17194.jpg,corona,217,382,428,610,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1064236942_jpg.rf.67c6fce9ea45d87a13a3fd1045a17194.jpg
1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035.jpg,dhl,424,222,580,306,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035.jpg
1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035.jpg,dhl,246,191,302,229,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1074088462_jpg.rf.48be8b016741dc2d7efd8dddc5cdb035.jpg
1077593112_jpg.rf.adf6aeb17c36f416e83d78e7a6b8156d.jpg,corona,379,401,460,574,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1077593112_jpg.rf.adf6aeb17c36f416e83d78e7a6b8156d.jpg
1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18.jpg,corona,217,396,468,587,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18.jpg
1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18.jpg,corona,479,411,555,472,640,640,train,/Users/eeguskiza/Documents/Deusto/2025/Vision/proyecto_vision/data/train/1099996974_jpg.rf.55e747c58f5f079643d1a2f624897f18.jpg
